POSIZIONE;DATA;PARTENZA STIMATA;ARRIVO STIMATO;PROBLEMA;CONSEGUENZE;LINK
Roma-Cassino;05/01/2018;UNKNOWN;UNKNOWN;Guasti ai bagni del treno, guasti ai bagni della stazione;Ritardo;https://facebook.com/story.php?story_fbid=1943714915877311&id=1652501871665285
Isernia-Venafro;08/01/2018;08:36;11:47;Sovraffollamento;"Ritardo di 60 minuti; aggancio di un secondo treno";https://facebook.com/story.php?story_fbid=1944897219092414&id=1652501871665285
Roma-Campobasso;18/01/2018;14:35;UNKNOWN;"Guasto del treno; l'autista ha sbagliato strada";Ritardo;https://facebook.com/story.php?story_fbid=1949979318584204&id=1652501871665285
Roma-Cassino;19/01/2018;06:15;09:35;UNKNOWN;Ritardo di 180 minuti;https://facebook.com/story.php?story_fbid=1949417785307024&id=1652501871665285
Campobasso-Roma;19/01/2018;12:32;15:43;Ritardo di 30 minuti;Anticipo di 6 minuti;https://facebook.com/story.php?story_fbid=1950456745203128&id=1652501871665285
Roma-Cassino;05/02/2018;18:42;UNKNOWN;Fumatore nei bagni;"Allarme antincendio; Ritardo";https://facebook.com/story.php?story_fbid=1957474144501388&id=1652501871665285
Cassino-Roma;07/02/2018;12:32;UNKNOWN;UNKNOWN;Ritardo di 30 minuti;https://facebook.com/story.php?story_fbid=1958214537760682&id=1652501871665285
Isernia-Carpinone;15/02/2018;UNKNOWN;UNKNOWN;Dirottamento dei treni ad alta velocità sulle linee storiche;Ritardo di 45 minuti;https://facebook.com/story.php?story_fbid=1961793857402750&id=1652501871665285
Campobasso-Vinchiaturo;21/02/2018;17:58;UNKNOWN;Esaurimento carburante;Ritardo di 50 minuti;https://facebook.com/story.php?story_fbid=1964915013757301&id=1652501871665285
Campobasso-Roma;26/02/2018;05:45;UNKNOWN;UNKNOWN;Ritardo di 315 minuti;https://facebook.com/story.php?story_fbid=1967106983538104&id=1652501871665285
Venafro-Isernia;29/03/2018;10:56;UNKNOWN;Annuncio di un falso ritardo di 150 minuti;Nessuna;https://facebook.com/story.php?story_fbid=1981757238739745&id=1652501871665285
