x;y;DEC_TIPO;layer;time;length;endtime
12,50222599;41,90065145;Stazione;temp stazioni xy;07-08-2018 13:07:00;3461,421;07-08-2018 13:09:22
12,53466449;41,88106283;;temp punti xy;07-08-2018 13:09:22;3397,144;07-08-2018 13:11:41
12,55336293;41,85385764;;;07-08-2018 13:11:41;3397,432;07-08-2018 13:14:00
12,57206137;41,82665245;;temp punti xy;07-08-2018 13:14:00;3240,728;07-08-2018 13:16:13
12,59789449;41,80479258;;temp punti xy;07-08-2018 13:16:13;2181,927;07-08-2018 13:17:42
12,62414999;41,80482895;;temp punti xy;07-08-2018 13:17:42;2575,235;07-08-2018 13:19:28
12,65039574;41,81715895;;;07-08-2018 13:19:28;2574,883;07-08-2018 13:21:13
12,67664149;41,82948895;;temp punti xy;07-08-2018 13:21:13;4491,497;07-08-2018 13:24:17
12,73057449;41,83235533;;temp punti xy;07-08-2018 13:24:17;1908,417;07-08-2018 13:25:35
12,75175624;41,83901083;;temp punti xy;07-08-2018 13:25:35;2923,248;07-08-2018 13:27:35
12,78626156;41,83383227;;;07-08-2018 13:27:35;2923,473;07-08-2018 13:29:35
12,82076687;41,8286537;;temp punti xy;07-08-2018 13:29:35;1648,907;07-08-2018 13:30:42
12,82855549;41,81499895;;temp punti xy;07-08-2018 13:30:42;3328,933;07-08-2018 13:32:59
12,85213262;41,79076908;;temp punti xy;07-08-2018 13:32:59;2457,633;07-08-2018 13:34:40
12,88063103;41,78487839;;;07-08-2018 13:34:40;2457,841;07-08-2018 13:36:21
12,90912943;41,77898771;;;07-08-2018 13:36:21;2458,051;07-08-2018 13:38:02
12,93762784;41,77309702;;;07-08-2018 13:38:02;2458,259;07-08-2018 13:39:43
12,96612624;41,76720633;;temp punti xy;07-08-2018 13:39:43;2041,406;07-08-2018 13:41:07
12,98362874;41,75431908;;;07-08-2018 13:41:07;2041,612;07-08-2018 13:42:31
13,00113124;41,74143183;;temp punti xy;07-08-2018 13:42:31;1807,945;07-08-2018 13:43:45
13,01977262;41,73306433;;temp punti xy;07-08-2018 13:43:45;1960,168;07-08-2018 13:45:05
13,04327487;41,73431033;;temp punti xy;07-08-2018 13:45:05;3454,059;07-08-2018 13:47:27
13,08130862;41,72184633;;temp punti xy;07-08-2018 13:47:27;2719,117;07-08-2018 13:49:18
13,10853862;41,70831539;;;07-08-2018 13:49:18;2719,511;07-08-2018 13:51:09
13,13576862;41,69478446;;;07-08-2018 13:51:09;2719,905;07-08-2018 13:53:00
13,16299862;41,68125352;;;07-08-2018 13:53:00;2720,299;07-08-2018 13:54:51
13,19022862;41,66772258;;temp punti xy;07-08-2018 13:54:51;3143,477;07-08-2018 13:57:00
13,22485387;41,6564597;;temp punti xy;07-08-2018 13:57:00;1417,715;07-08-2018 18:11:00
